query,intent
location of HOD Office - Humanities and Communication Department,find_location
which floor is HOD Office - Civil Engineering,find_location
location of Main Seminar Hall,find_location
from library to cafeteria,find_location
take me to Engineering Chemistry Lab,find_location
from cse to gym,find_location
which floor is Outdoor Canteen Terrace,find_location
how to reach Engineering Workshop,find_location
location of HUM Faculty Room,find_location
where is the canteen,find_location
how do i go from Management Department to the library,find_location
from civil to mechanical,find_location
how do i go from Ground Floor Water Dispenser to the library,find_location
location of Civil Engineering Department,find_location
location of Multi-Faith Prayer Room,find_location
where can i find Electrical Department Washrooms,find_location
which floor is Examination Cell,find_location
where can i find Mechanical Engineering Lab,find_location
from cse to gym,find_location
where is Girls Hostel,find_location
how do i go from Ground Floor Washrooms to the library,find_location
from civil to mechanical,find_location
where can i find Careers and Employability Office,find_location
where is the canteen,find_location
how to reach Registrar Office,find_location
navigate to Staff Parking Area,find_location
from cse to gym,find_location
directions to HOD Office - Chemical Engineering,find_location
how do i get to IT Classroom 101,find_location
where can i find Artificial Intelligence and Data Science Department,find_location
navigate to BIO Classroom 501,find_location
from civil to mechanical,find_location
how to reach Electronics and Communication Engineering Department,find_location
where can i find EE Faculty Room,find_location
where can i find Humanities and Communication Department,find_location
where can i find Robotics and Automation Department,find_location
how do i go from BIO Faculty Room to the library,find_location
from cse to gym,find_location
where is Medical Room,find_location
directions to Electronics Lab,find_location
how to reach HOD Office - Computer Science Engineering,find_location
where is Printing and Copying Room,find_location
how to reach Student Services Office,find_location
directions to IT Classroom 102,find_location
where is the cafeteria,find_location
directions to Student Union,find_location
directions to Robotics and Automation Department,find_location
from library to cafeteria,find_location
location of ROBO Classroom 501,find_location
where is the library,find_location
from library to cafeteria,find_location
where is ROBO Faculty Room,find_location
where is the library,find_location
location of CHE Faculty Room,find_location
where is the library,find_location
from civil to mechanical,find_location
where is the canteen,find_location
where is the library,find_location
show me the way to Registrar Office,find_location
from library to cafeteria,find_location
from library to cafeteria,find_location
take me to Transport Office,find_location
where is the cafeteria,find_location
which floor is Careers and Employability Office,find_location
where is the library,find_location
where is ATM,find_location
navigate to Reading Room,find_location
how do i go from Stationery Store to the library,find_location
how do i go from HUM Classroom 601 to the library,find_location
how to reach MBA Classroom 602,find_location
where is the canteen,find_location
from library to cafeteria,find_location
where is the canteen,find_location
how do i go from Student Services Office to the library,find_location
from cse to gym,find_location
show me the way to Hostel Laundry Room,find_location
how to reach Computer Science Engineering Department,find_location
where is the library,find_location
how to reach Dean Academic Office,find_location
show me the way to Library Book Issue Counter,find_location
where is MBA Classroom 602,find_location
where is the canteen,find_location
location of AI&DS Classroom 201,find_location
take me to ME Classroom 302,find_location
where is the canteen,find_location
take me to IT Department Washrooms,find_location
where is the library,find_location
take me to Registrar Office,find_location
from cse to gym,find_location
how to reach ECE Faculty Room,find_location
how to reach ECE Classroom 202,find_location
how to reach Stationery Store,find_location
where is the canteen,find_location
show me the way to ME Faculty Room,find_location
where is Management Department,find_location
location of Mechanical Department Washrooms,find_location
how do i get to Robotics and Automation Department,find_location
where is the cafeteria,find_location
where is Main Auditorium,find_location
from cse to gym,find_location
how do i go from BIO Classroom 501 to the library,find_location
from library to cafeteria,find_location
where can i find Civil Engineering Department,find_location
directions to Staff Parking Area,find_location
which floor is Principal Office,find_location
show me the way to IT Department Washrooms,find_location
where is Civil Engineering Lab,find_location
where can i find Girls Common Room,find_location
how do i go from HOD Office - Electronics and Communication Engineering to the library,find_location
navigate to HOD Office - Mechanical Engineering,find_location
how do i go from CE Classroom 401 to the library,find_location
take me to IT Classroom 102,find_location
show me the way to AI and Data Science Lab,find_location
how to reach Lost and Found Desk,find_location
from cse to gym,find_location
directions to Administrative Office,find_location
directions to CHE Faculty Room,find_location
how to reach ROBO Faculty Room,find_location
location of Management Department,find_location
where is the cafeteria,find_location
show me the way to Reading Room,find_location
where can i find Engineering Physics Lab,find_location
how do i get to Indoor Games Room,find_location
how do i go from Final Year Project Lab to the library,find_location
which floor is Hostel Mess,find_location
from library to cafeteria,find_location
which floor is Visitor Parking Area,find_location
from cse to gym,find_location
from cse to gym,find_location
how to reach Student Counselling Room,find_location
how to reach Biotechnology Department Washrooms,find_location
can i visit IT Classroom 102 now,ask_hours
is Computer Science Engineering Department open today,ask_hours
when is Research and Development Cell open,ask_hours
opening hours of Coffee Kiosk,ask_hours
opening hours of BIO Faculty Room,ask_hours
can i visit Girls Common Room now,ask_hours
what are the timings of CHE Classroom 402,ask_hours
is IT Help Desk open today,ask_hours
what time does the gym open,ask_hours
what time does Admin Conference Room close,ask_hours
is ME Faculty Room open today,ask_hours
what are the timings of Student Counselling Room,ask_hours
is AI and Data Science Lab open today,ask_hours
what time does CSE Classroom 102 close,ask_hours
is Artificial Intelligence and Data Science Department open today,ask_hours
what time does ME Classroom 302 close,ask_hours
is Central Library open now,ask_hours
when is ECE Department Washrooms open,ask_hours
when is Scholarship Office open,ask_hours
opening hours of Boys Common Room,ask_hours
when is Ground Floor Washrooms open,ask_hours
is cafeteria open on sunday,ask_hours
opening hours of Student Counselling Room,ask_hours
is First Floor Washrooms open today,ask_hours
can i visit Humanities and Communication Department now,ask_hours
is cafeteria open on sunday,ask_hours
is EE Classroom 302 open today,ask_hours
is Digital Library open today,ask_hours
can i visit Outdoor Canteen Terrace now,ask_hours
what are the timings of Main Auditorium,ask_hours
can i visit Electrical Engineering Department now,ask_hours
opening hours of Student Parking Area,ask_hours
is the library open now,ask_hours
opening hours of Innovation and Incubation Centre,ask_hours
is Security Cabin open now,ask_hours
is cafeteria open on sunday,ask_hours
is cafeteria open on sunday,ask_hours
is the library open now,ask_hours
is the library open now,ask_hours
what are the timings of Management Department,ask_hours
is Humanities and Communication Department open now,ask_hours
opening hours of Digital Library,ask_hours
when is Staff Parking Area open,ask_hours
what are the timings of Engineering Workshop,ask_hours
is the library open now,ask_hours
when is Hostel Laundry Room open,ask_hours
opening hours of EE Classroom 301,ask_hours
is Chemical Engineering Lab open today,ask_hours
is the library open now,ask_hours
is cafeteria open on sunday,ask_hours
what time does CHE Faculty Room close,ask_hours
what time does the gym open,ask_hours
is the library open now,ask_hours
is the library open now,ask_hours
is Student Parking Area open now,ask_hours
is Main Seminar Hall open now,ask_hours
what time does Chemical Department Washrooms close,ask_hours
when is Information Technology Department open,ask_hours
is Indoor Games Room open now,ask_hours
is the library open now,ask_hours
is cafeteria open on sunday,ask_hours
when is Student Device Charging Station open,ask_hours
is MBA Faculty Room open today,ask_hours
is cafeteria open on sunday,ask_hours
what time does HOD Office - Mechanical Engineering close,ask_hours
can i visit Medical Room now,ask_hours
is Chemical Engineering Lab open today,ask_hours
is cafeteria open on sunday,ask_hours
is the library open now,ask_hours
is cafeteria open on sunday,ask_hours
what time does Outdoor Canteen Terrace close,ask_hours
is the library open now,ask_hours
what time does the gym open,ask_hours
what are the timings of Outdoor Canteen Terrace,ask_hours
can i visit AI&DS Faculty Room now,ask_hours
is the library open now,ask_hours
what time does ME Classroom 301 close,ask_hours
is Boys Hostel open now,ask_hours
what are the timings of Robotics and Automation Department,ask_hours
is Main Cafeteria open today,ask_hours
is cafeteria open on sunday,ask_hours
is BIO Faculty Room open today,ask_hours
when is AI&DS Faculty Room open,ask_hours
is cafeteria open on sunday,ask_hours
opening hours of CSE Department Washrooms,ask_hours
what time does Electrical Engineering Department close,ask_hours
what time does Reading Room close,ask_hours
is the library open now,ask_hours
when is Chemical Department Washrooms open,ask_hours
is Careers and Employability Office open today,ask_hours
is HOD Office - Civil Engineering open now,ask_hours
what time does HOD Office - Mechanical Engineering close,ask_hours
is Ground Floor Water Dispenser open today,ask_hours
is HUM Classroom 601 open now,ask_hours
is cafeteria open on sunday,ask_hours
can i visit Scholarship Office now,ask_hours
when is AI and Data Science Department Washrooms open,ask_hours
is Coffee Kiosk open now,ask_hours
is Information Technology Department open now,ask_hours
what are the timings of AI&DS Classroom 202,ask_hours
is the library open now,ask_hours
opening hours of CE Classroom 402,ask_hours
when is Staff Parking Area open,ask_hours
when is Student Services Office open,ask_hours
what are the timings of CE Classroom 401,ask_hours
is the library open now,ask_hours
what time does Management Department close,ask_hours
opening hours of Robotics and Automation Department,ask_hours
what time does the gym open,ask_hours
is the library open now,ask_hours
is Printing and Copying Room open now,ask_hours
is cafeteria open on sunday,ask_hours
opening hours of Campus Bus Stop,ask_hours
what are the timings of IT Classroom 101,ask_hours
can i visit Robotics and Automation Lab now,ask_hours
opening hours of HOD Office - Civil Engineering,ask_hours
is cafeteria open on sunday,ask_hours
is Transport Office open today,ask_hours
is the library open now,ask_hours
what are the timings of Humanities and Communication Department,ask_hours
is cafeteria open on sunday,ask_hours
opening hours of Chemical Engineering Lab,ask_hours
opening hours of Electrical Department Washrooms,ask_hours
what time does Electrical Machines and Power Systems Lab close,ask_hours
is Outdoor Canteen Terrace open now,ask_hours
what time does HOD Office - Mechanical Engineering close,ask_hours
what time does the gym open,ask_hours
what are the timings of Accounts Office,ask_hours
what time does the gym open,ask_hours
is cafeteria open on sunday,ask_hours
what time does EE Faculty Room close,ask_hours
opening hours of AI&DS Classroom 201,ask_hours
is the library open now,ask_hours
is ME Classroom 302 open today,ask_hours
when is ROBO Classroom 502 open,ask_hours
what time does Main Lift Area close,ask_hours
is the library open now,ask_hours
is Main Reception open today,ask_hours
opening hours of ROBO Classroom 502,ask_hours
can i visit CHE Classroom 401 now,ask_hours
opening hours of Printing and Copying Room,ask_hours
what time does the gym open,ask_hours
when is ME Faculty Room open,ask_hours
what time does the gym open,ask_hours
when is HOD Office - Civil Engineering open,ask_hours
opening hours of IT Department Washrooms,ask_hours
is Printing and Copying Room open today,ask_hours
is Management Department open today,ask_hours
is cafeteria open on sunday,ask_hours
is CSE Classroom 101 open now,ask_hours
what time does the gym open,ask_hours
is Biotechnology Lab open today,ask_hours
opening hours of Hostel Office,ask_hours
opening hours of BIO Classroom 501,ask_hours
is CSE Department Washrooms open now,ask_hours
what time does the gym open,ask_hours
can i visit Chemical Engineering Department now,ask_hours
is ECE Department Washrooms open today,ask_hours
is the library open now,ask_hours
opening hours of Scholarship Office,ask_hours
what time does the gym open,ask_hours
is Sports Ground open now,ask_hours
can i visit Stationery Store now,ask_hours
what are the timings of AI and Data Science Lab,ask_hours
when is Campus Bus Stop open,ask_hours
when is Main Seminar Hall open,ask_hours
is cafeteria open on sunday,ask_hours
is the library open now,ask_hours
what are the timings of CHE Faculty Room,ask_hours
is the library open now,ask_hours
what time does Mechanical Engineering Lab close,ask_hours
is cafeteria open on sunday,ask_hours
opening hours of ATM,ask_hours
is Hostel Office open today,ask_hours
when is Final Year Project Lab open,ask_hours
when is Library Book Issue Counter open,ask_hours
is the library open now,ask_hours
what time does the gym open,ask_hours
what are the timings of Security Cabin,ask_hours
is Multi-Faith Prayer Room open today,ask_hours
opening hours of CE Faculty Room,ask_hours
is Information Technology Department open now,ask_hours
what time does Chemical Engineering Lab close,ask_hours
is the library open now,ask_hours
can i visit ME Faculty Room now,ask_hours
is the library open now,ask_hours
what time does ECE Classroom 201 close,ask_hours
can i visit Main Lift Area now,ask_hours
opening hours of Innovation and Incubation Centre,ask_hours
what are the timings of ATM,ask_hours
is Biotechnology Department Washrooms open today,ask_hours
is cafeteria open on sunday,ask_hours
what time does the gym open,ask_hours
what are the timings of Girls Hostel,ask_hours
is Reading Room open today,ask_hours
opening hours of Group Study Room,ask_hours
can i visit Chemical Engineering Department now,ask_hours
what time does the gym open,ask_hours
what time does the gym open,ask_hours
is HOD Office - Humanities and Communication Department open now,ask_hours
what are the timings of BIO Faculty Room,ask_hours
is cafeteria open on sunday,ask_hours
is HOD Office - Management Department open now,ask_hours
is the library open now,ask_hours
what are the timings of International Student Office,ask_hours
is Ground Floor Water Dispenser open now,ask_hours
is the library open now,ask_hours
can i visit Biotechnology Department now,ask_hours
what time does the gym open,ask_hours
opening hours of CHE Faculty Room,ask_hours
is cafeteria open on sunday,ask_hours
what time does the gym open,ask_hours
is the library open now,ask_hours
when is Registrar Office open,ask_hours
can i visit Civil Engineering Department now,ask_hours
is AI and Data Science Lab open now,ask_hours
is the library open now,ask_hours
what time does Chemical Department Washrooms close,ask_hours
can i visit Student Services Office now,ask_hours
what time does the gym open,ask_hours
is cafeteria open on sunday,ask_hours
what are the timings of Library Floor Water Dispenser,ask_hours
is cafeteria open on sunday,ask_hours
is the library open now,ask_hours
is HOD Office - Biotechnology open today,ask_hours
what time does Chemical Department Washrooms close,ask_hours
what time does Engineering Physics Lab close,ask_hours
what are the timings of Main Cafeteria,ask_hours
what are the timings of ME Classroom 301,ask_hours
is cafeteria open on sunday,ask_hours
what are the timings of Student Device Charging Station,ask_hours
can i visit Chemical Department Washrooms now,ask_hours
is HOD Office - Computer Science Engineering open now,ask_hours
is cafeteria open on sunday,ask_hours
can i visit Management Department now,ask_hours
what time does Ground Floor Emergency Exit close,ask_hours
opening hours of IT Help Desk,ask_hours
opening hours of Coffee Kiosk,ask_hours
can i visit Stationery Store now,ask_hours
what time does the gym open,ask_hours
opening hours of Staff Parking Area,ask_hours
when is ECE Classroom 202 open,ask_hours
is IT Classroom 102 open today,ask_hours
what time does the gym open,ask_hours
is HOD Office - Civil Engineering open today,ask_hours
is the library open now,ask_hours
is IT Department Washrooms open today,ask_hours
is cafeteria open on sunday,ask_hours
opening hours of Group Study Room,ask_hours
what time does the gym open,ask_hours
what time does AI and Data Science Lab close,ask_hours
opening hours of Electronics Lab,ask_hours
what are the timings of Engineering Physics Lab,ask_hours
is cafeteria open on sunday,ask_hours
is Engineering Physics Lab open today,ask_hours
is Campus Fitness Centre open now,ask_hours
what time does Coffee Kiosk close,ask_hours
what are the timings of First Floor Washrooms,ask_hours
is the library open now,ask_hours
is Main Gate open today,ask_hours
opening hours of Reading Room,ask_hours
is Civil Engineering Department open now,ask_hours
is the library open now,ask_hours
what time does the gym open,ask_hours
is cafeteria open on sunday,ask_hours
what are the timings of Indoor Games Room,ask_hours
what time does HOD Office - Chemical Engineering close,ask_hours
opening hours of AI&DS Classroom 202,ask_hours
is cafeteria open on sunday,ask_hours
what time does MBA Classroom 602 close,ask_hours
what time does the gym open,ask_hours
can i visit ROBO Classroom 502 now,ask_hours
what time does EE Classroom 302 close,ask_hours
what time does the gym open,ask_hours
opening hours of Electrical Engineering Department,ask_hours
is HOD Office - Computer Science Engineering open today,ask_hours
what are the timings of MBA Classroom 602,ask_hours
what are the timings of Civil Department Washrooms,ask_hours
is the library open now,ask_hours
is Artificial Intelligence and Data Science Department open today,ask_hours
what are the timings of BIO Classroom 501,ask_hours
what time does the gym open,ask_hours
is the library open now,ask_hours
opening hours of Student Parking Area,ask_hours
when is HOD Office - Artificial Intelligence and Data Science open,ask_hours
opening hours of ROBO Classroom 502,ask_hours
what time does the gym open,ask_hours
what time does the gym open,ask_hours
can i visit AI&DS Faculty Room now,ask_hours
is cafeteria open on sunday,ask_hours
is HUM Classroom 602 open now,ask_hours
can i visit BIO Classroom 501 now,ask_hours
opening hours of CHE Faculty Room,ask_hours
opening hours of Mechanical Engineering Lab,ask_hours
what time does HOD Office - Electronics and Communication Engineering close,ask_hours
is the library open now,ask_hours
is cafeteria open on sunday,ask_hours
what time does the gym open,ask_hours
is ECE Classroom 201 open today,ask_hours
what are the timings of Hostel Office,ask_hours
any guest lecture today,ask_event
any seminar this week,ask_event
events at student union,ask_event
any seminar this week,ask_event
any events today,ask_event
any seminar this week,ask_event
events at student union,ask_event
events at student union,ask_event
any events today,ask_event
any seminar this week,ask_event
events at student union,ask_event
what workshops are happening,ask_event
what is on today,ask_event
anything happening on campus,ask_event
any events today,ask_event
what is on today,ask_event
any seminar this week,ask_event
what is on today,ask_event
events at student union,ask_event
what workshops are happening,ask_event
show me upcoming events,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
any seminar this week,ask_event
any events today,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
what is on today,ask_event
any guest lecture today,ask_event
what is on today,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
what is on today,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
events at student union,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
events at student union,ask_event
what is on today,ask_event
any guest lecture today,ask_event
show me upcoming events,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
what is on today,ask_event
any seminar this week,ask_event
events at student union,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
any events today,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
what is on today,ask_event
show me upcoming events,ask_event
any guest lecture today,ask_event
what is on today,ask_event
show me upcoming events,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
any events today,ask_event
anything happening on campus,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
anything happening on campus,ask_event
anything happening on campus,ask_event
what workshops are happening,ask_event
show me upcoming events,ask_event
any seminar this week,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
any seminar this week,ask_event
events at student union,ask_event
what is on today,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
any events today,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
show me upcoming events,ask_event
what is on today,ask_event
any events today,ask_event
any seminar this week,ask_event
what is on today,ask_event
events at student union,ask_event
anything happening on campus,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
what is on today,ask_event
anything happening on campus,ask_event
anything happening on campus,ask_event
show me upcoming events,ask_event
what is on today,ask_event
any events today,ask_event
events at student union,ask_event
any seminar this week,ask_event
any events today,ask_event
what workshops are happening,ask_event
any events today,ask_event
what is on today,ask_event
what workshops are happening,ask_event
what is on today,ask_event
what is on today,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
events at student union,ask_event
what is on today,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
events at student union,ask_event
show me upcoming events,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
any events today,ask_event
any events today,ask_event
what workshops are happening,ask_event
show me upcoming events,ask_event
show me upcoming events,ask_event
any events today,ask_event
events at student union,ask_event
anything happening on campus,ask_event
any events today,ask_event
show me upcoming events,ask_event
any seminar this week,ask_event
events at student union,ask_event
any seminar this week,ask_event
anything happening on campus,ask_event
any events today,ask_event
any events today,ask_event
any events today,ask_event
any seminar this week,ask_event
what is on today,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
any events today,ask_event
what is on today,ask_event
what workshops are happening,ask_event
events at student union,ask_event
show me upcoming events,ask_event
what is on today,ask_event
any events today,ask_event
any seminar this week,ask_event
any events today,ask_event
anything happening on campus,ask_event
any events today,ask_event
any seminar this week,ask_event
any events today,ask_event
any events today,ask_event
events at student union,ask_event
any events today,ask_event
events at student union,ask_event
any events today,ask_event
what workshops are happening,ask_event
show me upcoming events,ask_event
events at student union,ask_event
any seminar this week,ask_event
any events today,ask_event
what workshops are happening,ask_event
what is on today,ask_event
any guest lecture today,ask_event
events at student union,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
anything happening on campus,ask_event
any events today,ask_event
what is on today,ask_event
anything happening on campus,ask_event
what workshops are happening,ask_event
any seminar this week,ask_event
events at student union,ask_event
events at student union,ask_event
show me upcoming events,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
any guest lecture today,ask_event
anything happening on campus,ask_event
what is on today,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
any seminar this week,ask_event
any seminar this week,ask_event
what is on today,ask_event
any seminar this week,ask_event
events at student union,ask_event
any seminar this week,ask_event
any events today,ask_event
what is on today,ask_event
any seminar this week,ask_event
any guest lecture today,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
events at student union,ask_event
events at student union,ask_event
what is on today,ask_event
any guest lecture today,ask_event
any guest lecture today,ask_event
what workshops are happening,ask_event
any events today,ask_event
show me upcoming events,ask_event
any events today,ask_event
events at student union,ask_event
anything happening on campus,ask_event
what is on today,ask_event
events at student union,ask_event
show me upcoming events,ask_event
any guest lecture today,ask_event
show me upcoming events,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
any seminar this week,ask_event
events at student union,ask_event
any events today,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
what is on today,ask_event
what is on today,ask_event
events at student union,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
events at student union,ask_event
events at student union,ask_event
any seminar this week,ask_event
what is on today,ask_event
any guest lecture today,ask_event
any events today,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
show me upcoming events,ask_event
events at student union,ask_event
anything happening on campus,ask_event
show me upcoming events,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
any seminar this week,ask_event
any seminar this week,ask_event
anything happening on campus,ask_event
any seminar this week,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
any guest lecture today,ask_event
any events today,ask_event
anything happening on campus,ask_event
any seminar this week,ask_event
any events today,ask_event
what is on today,ask_event
any seminar this week,ask_event
show me upcoming events,ask_event
what workshops are happening,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
show me upcoming events,ask_event
any seminar this week,ask_event
what workshops are happening,ask_event
what is on today,ask_event
anything happening on campus,ask_event
any seminar this week,ask_event
any seminar this week,ask_event
any seminar this week,ask_event
any seminar this week,ask_event
anything happening on campus,ask_event
any guest lecture today,ask_event
what workshops are happening,ask_event
any events today,ask_event
show me upcoming events,ask_event
events at student union,ask_event
any events today,ask_event
any seminar this week,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
what workshops are happening,ask_event
show me upcoming events,ask_event
what is on today,ask_event
events at student union,ask_event
events at student union,ask_event
show me upcoming events,ask_event
anything happening on campus,ask_event
what is on today,ask_event
show me upcoming events,ask_event
what food is available now,menu_query
what is on the menu today,menu_query
coffee price,menu_query
coffee price,menu_query
price of samosa,menu_query
how much does lunch cost,menu_query
can i pay with student card,menu_query
