query,intent,query_len,label
is HOD Office - Humanities and Communication Department open now,ask_hours,10,8
hostel room availability,ask_hostel,3,7
where can i charge my laptop,service_query,6,19
answer sheet re-checking process,ask_exam,4,5
prospectus for new students,ask_admission,4,0
what is the news today,fallback,5,14
how to get a student ID after admission,ask_admission,8,0
where can i ask general questions,ask_contact,6,2
what labs are in Biotechnology,ask_department,5,3
where do teachers sit in Artificial Intelligence and Data Science,faculty_query,10,13
is there still time to apply,ask_admission,6,0
i feel dizzy,emergency,3,11
can i visit Scholarship Office now,ask_hours,6,8
location of ROBO Classroom 501,find_location,5,15
need based scholarship,ask_scholarship,3,10
my phone got stolen where do i report,lost_found,8,16
i am having trouble breathing,emergency,5,11
dance club on campus,ask_club,4,1
lost property office,lost_found,3,16
my friend fainted in the robotics lab what do i do,emergency,11,11
what facilities are in BIO Faculty Room,facility_info,7,12
staff room for Biotechnology,faculty_query,4,13
how to apply for exam leave,ask_exam,6,5
I miss home tips for new students,social_life,7,20
give me details about Robotics and Automation Department,facility_info,8,12
music club details,ask_club,3,1
hostel complaint procedure,ask_hostel,3,7
best place to propose,fallback,4,14
business plan competition,ask_fest,3,6
when is the placement season,ask_placement,5,9
i injured myself,emergency,3,11
who should i contact for Management Department,ask_contact,7,2
where is the hod office of Civil Engineering,faculty_query,8,13
where can i take a break between classes,recommend_place,8,18
from cse to gym,find_location,4,15
tell me about HOD Office - Humanities and Communication Department,facility_info,10,12
what year is it,fallback,4,14
where can visitors ask for help,ask_contact,6,2
international student social events,social_life,4,20
i want to propose a girl,fallback,6,14
what labs are in Chemical Engineering,ask_department,6,3
what is the news today,fallback,5,14
financial aid office location,ask_scholarship,4,10
suggest a calm place on campus,recommend_place,6,18
AI club at university,ask_club,4,1
what does Artificial Intelligence and Data Science department offer,ask_department,9,3
i lost my student id card,lost_found,6,16
hostel rules and regulations,ask_hostel,4,7
hostel leave application,ask_hostel,3,7
tell me about Electronics and Communication Engineering,ask_department,7,3
fellowship opportunities campus,ask_scholarship,3,10
where do teachers sit in Biotechnology,faculty_query,6,13
i found a bag in the classroom,lost_found,7,16
what time does the gym open,ask_hours,6,8
best place to study on campus,recommend_place,6,18
where do lecturers sit,faculty_query,4,13
who manages document queries,ask_contact,4,2
what facilities are in AI&DS Faculty Room,facility_info,7,12
where can visitors ask for help,ask_contact,6,2
where to pay admission fees,ask_admission,5,0
what is todays date,fallback,4,14
farewell party for final year,ask_fest,5,6
I want to apply to this university,ask_admission,7,0
show me upcoming events,ask_event,4,4
who is the contact for HOD Office - Chemical Engineering,ask_contact,10,2
where is Electrical Engineering department,ask_department,5,3
where can i get wifi password,service_query,6,19
dance club on campus,ask_club,4,1
placement statistics this year,ask_placement,4,9
placement for MBA students,ask_placement,4,9
where to apply for financial aid,ask_scholarship,6,10
any seminar this week,ask_event,4,4
attendance requirement for exams,ask_exam,4,5
hostel fee payment process,ask_hostel,4,7
what labs are in Electronics and Communication Engineering,ask_department,8,3
entrepreneurship summit,ask_fest,2,6
what is on today,ask_event,4,4
placement cell contact number,ask_placement,4,9
project submission deadline,ask_exam,3,5
academic excellence award,ask_scholarship,3,10
overnight stay in hostel,ask_hostel,4,7
robotics competition schedule,ask_fest,3,6
is Outdoor Canteen Terrace open now,ask_hours,6,8
coffee price,menu_query,2,17
where is Electronics and Communication Engineering staff room,faculty_query,8,13
what labs are in Electrical Engineering,ask_department,6,3
fee waiver process,ask_scholarship,3,10
who manages document queries,ask_contact,4,2
what is the weather,fallback,4,14
i cut my finger,emergency,4,11
how to get hostel allotment,ask_hostel,5,7
where is the exam cell,ask_exam,5,5
hostel mess menu,ask_hostel,3,7
how to socialise at university,social_life,5,20
where can i print assignment,service_query,5,19
where can i relax after class,recommend_place,6,18
hostel fee payment process,ask_hostel,4,7
where is the hod office of Information Technology,faculty_query,8,13
where to apply for financial aid,ask_scholarship,6,10
any guest lecture today,ask_event,4,4
what does Electrical Engineering department offer,ask_department,6,3
i need emergency help,emergency,4,11
fellowship opportunities campus,ask_scholarship,3,10
where is a comfortable place to sit,recommend_place,7,18
where can I get career counselling,ask_placement,6,9
music fest at university,ask_fest,4,6
placement training workshops,ask_placement,3,9
student council elections,ask_club,3,1
which companies come for recruitment,ask_placement,5,9
placement training workshops,ask_placement,3,9
is there still time to apply,ask_admission,6,0
tell me about IT Department Washrooms,facility_info,6,12
take me to Main Lift Area,find_location,6,15
where can i scan documents,service_query,5,19
tell me about Biotechnology,ask_department,4,3
is Transport Office open today,ask_hours,5,8
i need to charge my phone urgently,service_query,7,19
campus orientation social events,social_life,4,20
i found a bag in the classroom,lost_found,7,16
financial assistance for students,ask_scholarship,4,10
tea price,menu_query,2,17
give me details about Stationery Store,facility_info,6,12
i need first aid,emergency,4,11
how much is coffee,menu_query,4,17
what time does the gym open,ask_hours,6,8
hostel room availability,ask_hostel,3,7
i found keys near the cafeteria,lost_found,6,16
tuition fee instalment plan,ask_scholarship,4,10
staff room for Artificial Intelligence and Data Science,faculty_query,8,13
where can I hang out on campus,social_life,7,20
business plan competition,ask_fest,3,6
what are the timings of ATM,ask_hours,6,8
scholarship amount details,ask_scholarship,3,10
where is lost and found,lost_found,5,16
show me upcoming events,ask_event,4,4
music club details,ask_club,3,1
any events today,ask_event,3,4
where can i meet my project supervisor,faculty_query,7,13
is there a nice outdoor spot on campus,recommend_place,8,18
where can I hang out on campus,social_life,7,20
job fair at campus,ask_placement,4,9
who is the president,fallback,4,14
internet is not working on my laptop,service_query,7,19
i lost my bag,lost_found,4,16
is there a girls hostel,ask_hostel,5,7
i have stomachache,emergency,3,11
is CSE Classroom 101 open now,ask_hours,6,8
where is Electronics and Communication Engineering faculty room,faculty_query,8,13
how to prepare for campus interviews,ask_placement,6,9
when is ECE Department Washrooms open,ask_hours,6,8
music fest at university,ask_fest,4,6
I feel lonely on campus,social_life,5,20
internship opportunities on campus,ask_placement,4,9
who manages document queries,ask_contact,4,2
i think someone stole my phone,lost_found,6,16
activities to meet people campus,social_life,5,20
where can I submit my admission form,ask_admission,7,0
who should i contact for Library Floor Water Dispenser,ask_contact,9,2
freshers party details,ask_fest,3,6
placement statistics this year,ask_placement,4,9
how much does lunch cost,menu_query,5,17
how to get student id reissued,service_query,6,19
what is bitcoin price,fallback,4,14
club fair on campus,ask_club,4,1
inter college competition,ask_fest,3,6
lost property office,lost_found,3,16
inter college competition,ask_fest,3,6
where is the hod office of Information Technology,faculty_query,8,13
when is the placement season,ask_placement,5,9
hostel allotment process,ask_hostel,3,7
where can i meet my project supervisor,faculty_query,7,13
i found a wallet near the library what do i do,lost_found,11,16
hostel gate pass procedure,ask_hostel,4,7
where can i pay fees,service_query,5,19
who handles hostel issues,ask_contact,4,2
what snacks are available,menu_query,4,17
events at student union,ask_event,4,4
exam timetable for this semester,ask_exam,5,5
where is the admissions office,ask_admission,5,0
cultural club activities,ask_club,3,1
i have stomachache,emergency,3,11
where can i study quietly,recommend_place,5,18
academic excellence award,ask_scholarship,3,10
I feel lonely on campus,social_life,5,20
hostel room availability,ask_hostel,3,7
I need help with my CV,ask_placement,6,9
where do teachers sit in Information Technology,faculty_query,7,13
placement training workshops,ask_placement,3,9
from library to cafeteria,find_location,4,15
is the library open now,ask_hours,5,8
give me details about HOD Office - Humanities and Communication Department,facility_info,11,12
hostel curfew timing,ask_hostel,3,7
give me details about Student Parking Area,facility_info,7,12
how do i go from HUM Classroom 601 to the library,find_location,11,15
recreational facilities on campus,social_life,4,20
sports scholarship campus,ask_scholarship,3,10
how do I apply for admission,ask_admission,6,0
how to apply for scholarship,ask_scholarship,5,10
student enrollment process,ask_admission,3,0
hostel laundry facility,ask_hostel,3,7
how much does lunch cost,menu_query,5,17
where can i make friends,fallback,5,14
need based scholarship,ask_scholarship,3,10
where can i study peacefully,recommend_place,5,18
my wifi is not working,service_query,5,19
activities to meet people campus,social_life,5,20
where is the admissions office,ask_admission,5,0
i am having trouble breathing,emergency,5,11
bursary for students,ask_scholarship,3,10
where is Information Technology staff room,faculty_query,6,13
hostel gate pass procedure,ask_hostel,4,7
i found keys near the cafeteria,lost_found,6,16
how to socialise at university,social_life,5,20
i feel sick,emergency,3,11
tell me about Management,ask_department,4,3
boys hostel details,ask_hostel,3,7
where can I get career counselling,ask_placement,6,9
internal assessment marks,ask_exam,3,5
my laptop battery is dead where can i go,service_query,9,19
how do I apply for admission,ask_admission,6,0
where can i meet my project supervisor,faculty_query,7,13
what is on today,ask_event,4,4
what is Mechanical Engineering Department used for,facility_info,7,12
my friend fainted in the robotics lab what do i do,emergency,11,11
tuition fee instalment plan,ask_scholarship,4,10
where can visitors ask for help,ask_contact,6,2
i found a phone on campus,lost_found,6,16
what is bitcoin price,fallback,4,14
how do i get to Digital Library,find_location,7,15
suggest a romantic spot,fallback,4,14
where is the canteen,find_location,4,15
how to reach Engineering Workshop,find_location,5,15
any guest lecture today,ask_event,4,4
how do i talk to girls,fallback,6,14
where can i find Mechanical Engineering Lab,find_location,7,15
where can i find a boyfriend,fallback,6,14
where can i meet my professor,faculty_query,6,13
tuition fee instalment plan,ask_scholarship,4,10
hostel room availability,ask_hostel,3,7
tell me about Electronics and Communication Engineering,ask_department,7,3
someone is injured,emergency,3,11
where can i get bonafide certificate,service_query,6,19
how to reach Biotechnology Department Washrooms,find_location,6,15
what is on today,ask_event,4,4
i need a quiet corner with good wifi,recommend_place,8,18
events at student union,ask_event,4,4
meeting classmates outside class,social_life,4,20
who handles hostel issues,ask_contact,4,2
where can i meet my project supervisor,faculty_query,7,13
where can i prepare for exams,recommend_place,6,18
what does Humanities and Communication department offer,ask_department,7,3
what services does AI&DS Classroom 201 provide,facility_info,7,12
extracurricular activities details,ask_club,3,1
government scholarship details,ask_scholarship,3,10
how do i go from Ground Floor Washrooms to the library,find_location,11,15
internet is not working on my laptop,service_query,7,19
opening hours of Student Parking Area,ask_hours,6,8
where can i prepare for exams,recommend_place,6,18
exam fee payment deadline,ask_exam,4,5
how to get admission in computer science,ask_admission,7,0
what do students do for fun,social_life,6,20
where is the cafeteria,find_location,4,15
buddy programme for new students,social_life,5,20
inter college competition,ask_fest,3,6
photography club meetings,ask_club,3,1
where can i charge my laptop,service_query,6,19
where can i take a break between classes,recommend_place,8,18
price of tea,menu_query,3,17
what does AI and Data Science Lab offer,facility_info,8,12
i think someone stole my phone,lost_found,6,16
I miss home tips for new students,social_life,7,20
hostel visiting hours,ask_hostel,3,7
student council elections,ask_club,3,1
upcoming placement drives,ask_placement,3,9
where can i meet a girlfriend,fallback,6,14
scholarship application form,ask_scholarship,3,10
hostel allotment process,ask_hostel,3,7
what snacks are available,menu_query,4,17
prospectus for new students,ask_admission,4,0
what are the admission requirements,ask_admission,5,0
i think someone stole my phone,lost_found,6,16
suggest a calm place on campus,recommend_place,6,18
how to join a club,ask_club,5,1
placement statistics this year,ask_placement,4,9
suggest a quiet study place,recommend_place,5,18
international student social events,social_life,4,20
how to get a student ID after admission,ask_admission,8,0
provisional certificate collection,ask_exam,3,5
where to pay admission fees,ask_admission,5,0
dance club on campus,ask_club,4,1
what does Computer Science Engineering department offer,ask_department,7,3
what labs are in Civil Engineering,ask_department,6,3
technical fest schedule,ask_fest,3,6
where can i get lunch,menu_query,5,17
where can I get career counselling,ask_placement,6,9
how to apply for hostel,ask_hostel,5,7
sports day this year,ask_fest,4,6
photography club meetings,ask_club,3,1
where is the hod office of Computer Science Engineering,faculty_query,9,13
what does Chemical Engineering department offer,ask_department,6,3
need based scholarship,ask_scholarship,3,10
suggest a calm place on campus,recommend_place,6,18
where can i meet a girlfriend,fallback,6,14
suggest a calm place on campus,recommend_place,6,18
scholarship office location,ask_scholarship,3,10
grace marks policy,ask_exam,3,5
best place to read on campus,recommend_place,6,18
what is the weather,fallback,4,14
coffee price,menu_query,2,17
who should i contact for Medical Room,ask_contact,7,2
scholarship deadline this year,ask_scholarship,4,10
student newspaper club,ask_club,3,1
farewell party for final year,ask_fest,5,6
campus community events,social_life,3,20
is there a nice outdoor spot on campus,recommend_place,8,18
any events today,ask_event,3,4
what time does HOD Office - Chemical Engineering close,ask_hours,9,8
lost my laptop,lost_found,3,16
where can i issue books,service_query,5,19
boys hostel details,ask_hostel,3,7
i need a quiet corner with good wifi,recommend_place,8,18
what is today menu,menu_query,4,17
where is the exam cell,ask_exam,5,5
sports tournament schedule,ask_fest,3,6
where is Management department,ask_department,4,3
where is Robotics and Automation faculty room,faculty_query,7,13
where do students hang out,social_life,5,20
grace marks policy,ask_exam,3,5
how to apply for hostel,ask_hostel,5,7
i have stomachache,emergency,3,11
grade sheet collection,ask_exam,3,5
can i pay with student card,menu_query,6,17
from library to cafeteria,find_location,4,15
what are the admission requirements,ask_admission,5,0
merit scholarship details,ask_scholarship,3,10
career guidance sessions,ask_placement,3,9
what labs are in Mechanical Engineering,ask_department,6,3
where is Robotics and Automation department,ask_department,6,3
coding competition details,ask_fest,3,6
any seminar this week,ask_event,4,4
what does Information Technology department offer,ask_department,6,3
how to reach Staff Parking Area,find_location,6,15
where can visitors ask for help,ask_contact,6,2
what food is available now,menu_query,5,17
what labs are in Electronics and Communication Engineering,ask_department,8,3
where is the placement cell,ask_placement,5,9
I miss home tips for new students,social_life,7,20
induction programme for new students,ask_admission,5,0
how do i meet new people,fallback,6,14
meeting classmates outside class,social_life,4,20
where can i take a break between classes,recommend_place,8,18
from civil to mechanical,find_location,4,15
dance competition on campus,ask_fest,4,6
give me details about Medical Room,facility_info,6,12
events at student union,ask_event,4,4
answer sheet re-checking process,ask_exam,4,5
how to prepare for campus interviews,ask_placement,6,9
campus community events,social_life,3,20
where can i sit with laptop,recommend_place,6,18
recreational facilities on campus,social_life,4,20
who should i contact for HOD Office - Mechanical Engineering,ask_contact,10,2
where can i meet a girlfriend,fallback,6,14
friendly places on campus,social_life,4,20
i lost my bag,lost_found,4,16
give me details about CSE Classroom 102,facility_info,7,12
when are the exams,ask_exam,4,5
hostel warden contact,ask_hostel,3,7
i need a quiet corner with good wifi,recommend_place,8,18
what is on today,ask_event,4,4
merit list for admission,ask_admission,4,0
is Indoor Games Room open now,ask_hours,6,8
internship opportunities on campus,ask_placement,4,9
i need to charge my phone urgently,service_query,7,19
suggest a calm place on campus,recommend_place,6,18
change hostel room request,ask_hostel,4,7
what time is it,fallback,4,14
lost my wallet,lost_found,3,16
take me to IT Classroom 101,find_location,6,15
where to pay admission fees,ask_admission,5,0
provisional certificate collection,ask_exam,3,5
who is the placement officer,ask_placement,5,9
tell me about Information Technology,ask_department,5,3
hostel canteen timing,ask_hostel,3,7
practical exam schedule,ask_exam,3,5
who won the match,fallback,4,14
give me details about Main Auditorium,facility_info,6,12
what facilities are in Electrical Engineering Department,facility_info,7,12
what time does Chemical Department Washrooms close,ask_hours,7,8
where can i meet my professor,faculty_query,6,13
placement cell opening hours,ask_placement,4,9
when is the annual fest,ask_fest,5,6
opening hours of AI&DS Classroom 201,ask_hours,6,8
gaming club details,ask_club,3,1
which floor is Computer Science Engineering department,ask_department,7,3
transcript request process,ask_exam,3,5
what does International Student Office offer,facility_info,6,12
my phone got stolen where do i report,lost_found,8,16
what workshops are happening,ask_event,4,4
which companies come for recruitment,ask_placement,5,9
inter college competition,ask_fest,3,6
where can i ask general questions,ask_contact,6,2
where to get admission brochure,ask_admission,5,0
co-curricular activities details,ask_club,3,1
price of samosa,menu_query,3,17
take me to IT Department Washrooms,find_location,6,15
where should i report lost item,lost_found,6,16
I need help with my CV,ask_placement,6,9
merit scholarship details,ask_scholarship,3,10
where is a comfortable place to sit,recommend_place,7,18
events at student union,ask_event,4,4
hostel fee payment process,ask_hostel,4,7
exam schedule for final year,ask_exam,5,5
i injured myself,emergency,3,11
where is the exam cell,ask_exam,5,5
i need a quiet corner with good wifi,recommend_place,8,18
where can i study peacefully,recommend_place,5,18
film club at university,ask_club,4,1
is Computer Science Engineering Department open today,ask_hours,7,8
hostel warden contact,ask_hostel,3,7
financial assistance for students,ask_scholarship,4,10
what facilities are in CE Classroom 402,facility_info,7,12
placement training workshops,ask_placement,3,9
tell me about Electronics and Communication Engineering,ask_department,7,3
entrepreneurship summit,ask_fest,2,6
startup pitch event,ask_fest,3,6
what does Electronics and Communication Engineering department offer,ask_department,8,3
i have fever,emergency,3,11
where can visitors ask for help,ask_contact,6,2
what time does Chemical Department Washrooms close,ask_hours,7,8
how to check exam results online,ask_exam,6,5
I want to meet new people at university,social_life,8,20
someone stole my laptop what do i do,lost_found,8,16
what does Civil Engineering department offer,ask_department,6,3
what facilities are in HOD Office - Mechanical Engineering,facility_info,9,12
what is the last date for admission,ask_admission,7,0
any seminar this week,ask_event,4,4
what are the admission requirements,ask_admission,5,0
what workshops are happening,ask_event,4,4
dance club on campus,ask_club,4,1
where can i meet my project supervisor,faculty_query,7,13
what services does CSE Classroom 102 provide,facility_info,7,12
tell me about relationships,fallback,4,14
where can i get lunch,menu_query,5,17
who manages document queries,ask_contact,4,2
what is bitcoin price,fallback,4,14
what workshops are happening,ask_event,4,4
what do students do for fun,social_life,6,20
who handles hostel issues,ask_contact,4,2
grade sheet collection,ask_exam,3,5
where can i get bonafide certificate,service_query,6,19
I want to meet new people at university,social_life,8,20
give me details about Final Year Project Lab,facility_info,8,12
menu for today,menu_query,3,17
what are the timings of CHE Faculty Room,ask_hours,8,8
hostel room availability,ask_hostel,3,7
i twisted my ankle,emergency,4,11
what snacks are available,menu_query,4,17
who should i contact for Staff Parking Area,ask_contact,8,2
who is the placement officer,ask_placement,5,9
how to register for the fest,ask_fest,6,6
where can visitors ask for help,ask_contact,6,2
i need to charge my phone urgently,service_query,7,19
scholarship amount details,ask_scholarship,3,10
how to get student id reissued,service_query,6,19
arrear examination details,ask_exam,3,5
what services does Engineering Chemistry Lab provide,facility_info,7,12
what movie should i watch,fallback,5,14
drama club auditions,ask_club,3,1
coffee price,menu_query,2,17
who is the contact for Robotics and Automation Lab,ask_contact,9,2
how do I register as a new student,ask_admission,8,0
tell me about Administrative Office,facility_info,5,12
mock interview preparation help,ask_placement,4,9
is there a girls hostel,ask_hostel,5,7
what is Campus Fitness Centre used for,facility_info,7,12
who is the placement officer,ask_placement,5,9
what workshops are happening,ask_event,4,4
where is the hod office of Humanities and Communication,faculty_query,9,13
can i pay with student card,menu_query,6,17
provisional certificate collection,ask_exam,3,5
i have fever,emergency,3,11
hostel canteen timing,ask_hostel,3,7
someone fainted in the classroom,emergency,5,11
where can i get wifi password,service_query,6,19
hostel allotment process,ask_hostel,3,7
where can I get career counselling,ask_placement,6,9
degree certificate collection,ask_exam,3,5
how many students get placed,ask_placement,5,9
how to check exam results online,ask_exam,6,5
tuition fee instalment plan,ask_scholarship,4,10
is the library open now,ask_hours,5,8
tell me about Biotechnology,ask_department,4,3
career guidance sessions,ask_placement,3,9
financial aid office location,ask_scholarship,4,10
best place to read on campus,recommend_place,6,18
what time does Coffee Kiosk close,ask_hours,6,8
how do i get to Accounts Office,find_location,7,15
can i visit Chemical Engineering Department now,ask_hours,7,8
any events today,ask_event,3,4
i found someone phone,lost_found,4,16
where is the library,find_location,4,15
where can i meet a girlfriend,fallback,6,14
my friend fainted in the robotics lab what do i do,emergency,11,11
who is the contact for Electrical Machines and Power Systems Lab,ask_contact,11,2
which floor is Information Technology department,ask_department,6,3
what time is it,fallback,4,14
where can i sit and focus on my assignment,recommend_place,9,18
my phone got stolen where do i report,lost_found,8,16
scholarship office location,ask_scholarship,3,10
scholarship application form,ask_scholarship,3,10
where can i meet my project supervisor,faculty_query,7,13
job fair at campus,ask_placement,4,9
where can i study peacefully,recommend_place,5,18
club fair on campus,ask_club,4,1
i need to take a printout urgently,service_query,7,19
i found a phone on campus,lost_found,6,16
hostel fees and charges,ask_hostel,4,7
exam fee payment deadline,ask_exam,4,5
is there a nice outdoor spot on campus,recommend_place,8,18
where can i print assignment,service_query,5,19
food festival on campus,ask_fest,4,6
what is on the menu today,menu_query,6,17
drama club auditions,ask_club,3,1
when is Campus Bus Stop open,ask_hours,6,8
what time does the gym open,ask_hours,6,8
i need to charge my phone urgently,service_query,7,19
robotics competition schedule,ask_fest,3,6
is there still time to apply,ask_admission,6,0
i found a bag in the classroom,lost_found,7,16
where can I hang out on campus,social_life,7,20
what does Hostel Laundry Room offer,facility_info,6,12
mock interview preparation help,ask_placement,4,9
where can i ask general questions,ask_contact,6,2
show me upcoming events,ask_event,4,4
music club details,ask_club,3,1
freshers party details,ask_fest,3,6
result announcement date,ask_exam,3,5
i have stomachache,emergency,3,11
opening hours of Staff Parking Area,ask_hours,6,8
what labs are in Electronics and Communication Engineering,ask_department,8,3
what food is available now,menu_query,5,17
i have stomachache,emergency,3,11
practical exam schedule,ask_exam,3,5
events at student union,ask_event,4,4
who handles hostel issues,ask_contact,4,2
show me upcoming events,ask_event,4,4
internet is not working on my laptop,service_query,7,19
play some music,fallback,3,14
what is Computer Science Engineering Department used for,facility_info,8,12
opening hours of CHE Faculty Room,ask_hours,6,8
who is the placement officer,ask_placement,5,9
cultural club activities,ask_club,3,1
any seminar this week,ask_event,4,4
where is a comfortable place to sit,recommend_place,7,18
i injured myself,emergency,3,11
placement statistics this year,ask_placement,4,9
my phone got stolen where do i report,lost_found,8,16
how to socialise at university,social_life,5,20
where can i meet a girlfriend,fallback,6,14
scholarship office location,ask_scholarship,3,10
where can i meet my professor,faculty_query,6,13
who handles hostel issues,ask_contact,4,2
where do teachers sit in Mechanical Engineering,faculty_query,7,13
faculty room for Chemical Engineering,faculty_query,5,13
what is today menu,menu_query,4,17
what is CE Classroom 402 used for,facility_info,7,12
where is the it helpdesk,service_query,5,19
what facilities are in Robotics and Automation Lab,facility_info,8,12
how to network with students,social_life,5,20
extracurricular activities details,ask_club,3,1
dance club on campus,ask_club,4,1
debate competition details,ask_fest,3,6
backlog exam schedule,ask_exam,3,5
when is Information Technology Department open,ask_hours,6,8
my phone got stolen where do i report,lost_found,8,16
which floor is Biotechnology department,ask_department,5,3
which floor is Civil Engineering department,ask_department,6,3
what is Management Department used for,facility_info,6,12
co-curricular activities details,ask_club,3,1
what labs are in Biotechnology,ask_department,5,3
